A,0.440,2.59,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.450,2.59,-5.30,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.460,2.58,-5.32,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.470,2.58,-5.32,0.19,34.31,0.00,0.00,0.00,0.00,Z
A,0.480,2.57,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.490,2.58,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.500,2.57,-5.31,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.510,2.58,-5.29,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.520,2.59,-5.29,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.530,2.60,-5.32,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.540,2.58,-5.34,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.550,2.58,-5.32,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.560,2.58,-5.29,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.570,2.59,-5.32,-0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.580,2.57,-5.29,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.590,2.59,-5.33,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.600,2.58,-5.36,-0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.610,2.57,-5.31,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.620,2.58,-5.29,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.630,2.57,-5.30,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.640,2.57,-5.34,-0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.650,2.58,-5.35,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.660,2.61,-5.30,0.00,34.31,0.00,0.00,0.00,0.00,Z
A,0.670,2.58,-5.29,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.680,2.58,-5.31,0.06,34.31,0.00,0.00,0.00,0.00,Z
A,0.690,2.61,-5.31,0.12,34.31,0.00,0.00,0.00,0.00,Z
A,0.700,2.57,-5.32,0.25,34.31,0.00,0.00,0.00,0.00,Z
